"Channel"           "Time, ns"          "Count"             "Error"             "Resolution"        "Fit"               "Chi^2"             
2300                0                   12                  3.31662             11.35               11.3537             0.189241            
2301                0.0061626           12                  3.31662             11.35               11.3537             -0.0800726          
2302                0.0123252           11                  3.16228             11.35               11.3536             -0.317223           
2303                0.0184878           10                  3                   11.35               11.3536             0.462671            
2304                0.0246504           13                  3.4641              11.35               11.3535             0.71596             
2305                0.030813            14                  3.60555             11.35               11.3535             0.189326            
2306                0.0369756           12                  3.31662             11.35               11.3534             -1.49383            
2307                0.0431382           6                   2.23607             11.35               11.3533             0.952297            
2308                0.0493008           15                  3.74166             11.35               11.3533             -0.317144           
2309                0.0554634           10                  3                   11.35               11.3532             -0.572523           
2310                0.061626            9                   2.82843             11.35               11.3532             -0.31712            
2311                0.0677886           10                  3                   11.35               11.3531             -0.0799468          
2312                0.0739512           11                  3.16228             11.35               11.3531             -0.572487           
2313                0.0801138           9                   2.82843             11.35               11.353              -0.317086           
2314                0.0862764           10                  3                   11.35               11.353              -0.0799139          
2315                0.092439            11                  3.16228             11.35               11.3529             0.716111            
2316                0.0986016           14                  3.60555             11.35               11.3529             -0.0798929          
2317                0.104764            11                  3.16228             11.35               11.3528             -0.57243            
2318                0.110927            9                   2.82843             11.35               11.3528             -1.49366            
2319                0.117089            6                   2.23607             11.35               11.3528             -0.0798627          
2320                0.123252            11                  3.16228             11.35               11.3527             1.38341             
2321                0.129415            17                  4                   11.35               11.3527             -0.849813           
2322                0.135577            8                   2.64575             11.35               11.3526             0.716194            
2323                0.14174             14                  3.60555             11.35               11.3526             -0.572368           
2324                0.147902            9                   2.82843             11.35               11.3525             0.189587            
2325                0.154065            12                  3.31662             11.35               11.3525             -0.316964           
2326                0.160228            10                  3                   11.35               11.3525             0.18961             
2327                0.16639             12                  3.31662             11.35               11.3524             0.716246            
2328                0.172553            14                  3.60555             11.35               11.3524             0.952541            
2329                0.178715            15                  3.74166             11.3501             11.3524             0.716266            
2330                0.184878            14                  3.60555             11.3501             11.3523             0.189652            
2331                0.191041            12                  3.31662             11.3501             11.3523             0.716285            
2332                0.197203            14                  3.60555             11.3501             11.3523             -0.572288           
2333                0.203366            9                   2.82843             11.3501             11.3522             0.463043            
2334                0.209528            13                  3.4641              11.3501             11.3522             0.189691            
2335                0.215691            12                  3.31662             11.3501             11.3522             0.1897              
2336                0.221854            12                  3.31662             11.3501             11.3521             -1.49348            
2337                0.228016            6                   2.23607             11.3501             11.3521             0.716336            
2338                0.234179            14                  3.60555             11.3501             11.3521             -0.0797089          
2339                0.240341            11                  3.16228             11.3501             11.352              -0.316856           
2340                0.246504            10                  3                   11.3501             11.352              -0.849648           
2341                0.252667            8                   2.64575             11.3502             11.352              0.189749            
