"Channel"           "Time, ns"          "Count"             "Error"             "Fit"               "Chi^2"             
2300                0                   11                  3.16228             10.525              1.052875e+01        
2301                6.162600e-03        1.200000e+01        3.316625e+00        1.052500e+01        1.052872e+01        
2302                1.232520e-02        5.000000e+00        2.000000e+00        1.052500e+01        1.052867e+01        
2303                1.848780e-02        7.000000e+00        2.449490e+00        1.052500e+01        1.052860e+01        
2304                2.465040e-02        1.800000e+01        4.123106e+00        1.052500e+01        1.052854e+01        
2305                3.081300e-02        8.000000e+00        2.645751e+00        1.052500e+01        1.052848e+01        
2306                3.697560e-02        7.000000e+00        2.449490e+00        1.052500e+01        1.052843e+01        
2307                4.313820e-02        1.500000e+01        3.741657e+00        1.052500e+01        1.052837e+01        
2308                4.930080e-02        1.300000e+01        3.464102e+00        1.052501e+01        1.052832e+01        
2309                5.546340e-02        1.000000e+01        3.000000e+00        1.052501e+01        1.052826e+01        
2310                6.162600e-02        8.000000e+00        2.645751e+00        1.052501e+01        1.052821e+01        
2311                6.778860e-02        1.500000e+01        3.741657e+00        1.052501e+01        1.052816e+01        
2312                7.395120e-02        1.400000e+01        3.605551e+00        1.052501e+01        1.052811e+01        
2313                8.011380e-02        8.000000e+00        2.645751e+00        1.052501e+01        1.052806e+01        
2314                8.627640e-02        6.000000e+00        2.236068e+00        1.052501e+01        1.052801e+01        
2315                9.243900e-02        9.000000e+00        2.828427e+00        1.052501e+01        1.052796e+01        
2316                9.860160e-02        1.500000e+01        3.741657e+00        1.052501e+01        1.052792e+01        
2317                1.047642e-01        1.100000e+01        3.162278e+00        1.052501e+01        1.052787e+01        
2318                1.109268e-01        1.000000e+01        3.000000e+00        1.052501e+01        1.052782e+01        
2319                1.170894e-01        2.000000e+01        4.358899e+00        1.052502e+01        1.052778e+01        
2320                1.232520e-01        8.000000e+00        2.645751e+00        1.052502e+01        1.052774e+01        
2321                1.294146e-01        1.300000e+01        3.464102e+00        1.052502e+01        1.052769e+01        
2322                1.355772e-01        1.000000e+01        3.000000e+00        1.052502e+01        1.052765e+01        
2323                1.417398e-01        1.000000e+01        3.000000e+00        1.052502e+01        1.052761e+01        
2324                1.479024e-01        7.000000e+00        2.449490e+00        1.052503e+01        1.052757e+01        
2325                1.540650e-01        1.000000e+01        3.000000e+00        1.052503e+01        1.052753e+01        
2326                1.602276e-01        1.400000e+01        3.605551e+00        1.052503e+01        1.052749e+01        
2327                1.663902e-01        1.200000e+01        3.316625e+00        1.052504e+01        1.052745e+01        
2328                1.725528e-01        1.300000e+01        3.464102e+00        1.052504e+01        1.052741e+01        
2329                1.787154e-01        7.000000e+00        2.449490e+00        1.052504e+01        1.052737e+01        
2330                1.848780e-01        7.000000e+00        2.449490e+00        1.052505e+01        1.052734e+01        
2331                1.910406e-01        1.000000e+01        3.000000e+00        1.052505e+01        1.052730e+01        
2332                1.972032e-01        1.200000e+01        3.316625e+00        1.052506e+01        1.052727e+01        
2333                2.033658e-01        8.000000e+00        2.645751e+00        1.052506e+01        1.052723e+01        
2334                2.095284e-01        9.000000e+00        2.828427e+00        1.052507e+01        1.052720e+01        
2335                2.156910e-01        1.500000e+01        3.741657e+00        1.052508e+01        1.052717e+01        
2336                2.218536e-01        6.000000e+00        2.236068e+00        1.052508e+01        1.052714e+01        
2337                2.280162e-01        1.300000e+01        3.464102e+00        1.052509e+01        1.052710e+01        
2338                2.341788e-01        8.000000e+00        2.645751e+00        1.052510e+01        1.052707e+01        
2339                2.403414e-01        7.000000e+00        2.449490e+00        1.052511e+01        1.052704e+01        
2340                2.465040e-01        1.300000e+01        3.464102e+00        1.052512e+01        1.052702e+01        
2341                2.526666e-01        6.000000e+00        2.236068e+00        1.052513e+01        1.052699e+01        
2342                2.588292e-01        1.100000e+01        3.162278e+00        1.052515e+01        1.052696e+01        
2343                2.649918e-01        1.000000e+01        3.000000e+00        1.052516e+01        1.052694e+01        
2344                2.711544e-01        1.100000e+01        3.162278e+00        1.052518e+01        1.052691e+01        
2345                2.773170e-01        1.200000e+01        3.316625e+00        1.052519e+01        1.052689e+01        
2346                2.834796e-01        1.100000e+01        3.162278e+00        1.052521e+01        1.052687e+01        
2347                2.896422e-01        1.000000e+01        3.000000e+00        1.052523e+01        1.052684e+01        
2348                2.958048e-01        1.200000e+01        3.316625e+00        1.052526e+01        1.052682e+01        
2349                3.019674e-01        8.000000e+00        2.645751e+00        1.052528e+01        1.052680e+01        
2350                3.081300e-01        1.600000e+01        3.872983e+00        1.052531e+01        1.052679e+01        
2351                3.142926e-01        9.000000e+00        2.828427e+00        1.052533e+01        1.052677e+01        
2352                3.204552e-01        1.000000e+01        3.000000e+00        1.052537e+01        1.052675e+01        
2353                3.266178e-01        1.000000e+01        3.000000e+00        1.052540e+01        1.052674e+01        
2354                3.327804e-01        1.900000e+01        4.242641e+00        1.052544e+01        1.052673e+01        
2355                3.389430e-01        1.100000e+01        3.162278e+00        1.052548e+01        1.052672e+01        
2356                3.451056e-01        9.000000e+00        2.828427e+00        1.052552e+01        1.052671e+01        
2357                3.512682e-01        9.000000e+00        2.828427e+00        1.052557e+01        1.052670e+01        
2358                3.574308e-01        1.500000e+01        3.741657e+00        1.052562e+01        1.052670e+01        
2359                3.635934e-01        1.800000e+01        4.123106e+00        1.052568e+01        1.052670e+01        
2360                3.697560e-01        6.000000e+00        2.236068e+00        1.052574e+01        1.052669e+01        
2361                3.759186e-01        1.600000e+01        3.872983e+00        1.052581e+01        1.052670e+01        
2362                3.820812e-01        7.000000e+00        2.449490e+00        1.052588e+01        1.052670e+01        
2363                3.882438e-01        1.300000e+01        3.464102e+00        1.052596e+01        1.052671e+01        
2364                3.944064e-01        1.100000e+01        3.162278e+00        1.052605e+01        1.052672e+01        
2365                4.005690e-01        1.800000e+01        4.123106e+00        1.052615e+01        1.052673e+01        
2366                4.067316e-01        1.000000e+01        3.000000e+00        1.052625e+01        1.052675e+01        
2367                4.128942e-01        7.000000e+00        2.449490e+00        1.052636e+01        1.052677e+01        
2368                4.190568e-01        1.300000e+01        3.464102e+00        1.052648e+01        1.052679e+01        
2369                4.252194e-01        1.000000e+01        3.000000e+00        1.052661e+01        1.052682e+01        
2370                4.313820e-01        1.400000e+01        3.605551e+00        1.052675e+01        1.052686e+01        
2371                4.375446e-01        1.200000e+01        3.316625e+00        1.052691e+01        1.052690e+01        
2372                4.437072e-01        1.200000e+01        3.316625e+00        1.052708e+01        1.052694e+01        
2373                4.498698e-01        1.200000e+01        3.316625e+00        1.052726e+01        1.052699e+01        
2374                4.560324e-01        1.100000e+01        3.162278e+00        1.052745e+01        1.052704e+01        
2375                4.621950e-01        1.200000e+01        3.316625e+00        1.052767e+01        1.052711e+01        
2376                4.683576e-01        1.600000e+01        3.872983e+00        1.052790e+01        1.052718e+01        
2377                4.745202e-01        1.300000e+01        3.464102e+00        1.052815e+01        1.052725e+01        
2378                4.806828e-01        1.300000e+01        3.464102e+00        1.052842e+01        1.052734e+01        
2379                4.868454e-01        8.000000e+00        2.645751e+00        1.052871e+01        1.052743e+01        
2380                4.930080e-01        1.400000e+01        3.605551e+00        1.052903e+01        1.052754e+01        
